                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.85329,                0.67184,                 1.3033,                0.79941,                0.80672,                0.84131,                0.52217,                 1.4222,                0.94816,                 1.9207,               0.004555,               0.004555,               0.004555
                     57,                0.86927,                0.71029,                 1.3032,                0.84131,                0.75737,                0.83725,                0.51409,                 1.4095,                0.97022,                 1.8706,               0.004456,               0.004456,               0.004456
                     58,                0.86138,                0.72283,                 1.2966,                0.80531,                0.81513,                0.83857,                0.54254,                 1.3711,                0.93081,                 1.8834,               0.004357,               0.004357,               0.004357
                     59,                0.82696,                0.66522,                 1.2917,                0.79261,                0.72269,                0.79664,                0.49711,                 1.4667,                0.98742,                 1.9933,               0.004258,               0.004258,               0.004258
                     60,                0.87518,                0.68773,                  1.311,                0.81978,                0.77311,                0.82329,                0.52712,                 1.3905,                0.97264,                 1.8856,               0.004159,               0.004159,               0.004159
                     61,                0.81809,                0.75976,                 1.2513,                0.81264,                0.80188,                0.83756,                0.54531,                 1.3926,                0.92367,                 1.9106,                0.00406,                0.00406,                0.00406
                     62,                 0.8267,                0.67316,                 1.2879,                0.85698,                0.75532,                0.82468,                0.54943,                 1.3226,                 0.9468,                  1.845,               0.003961,               0.003961,               0.003961
                     63,                0.81575,                0.66639,                 1.2602,                0.81649,                0.74777,                0.82011,                0.53737,                 1.3481,                0.90446,                 1.8667,               0.003862,               0.003862,               0.003862
                     64,                0.83402,                0.65735,                 1.2793,                0.83874,                0.76471,                0.82162,                0.54263,                 1.3939,                0.93148,                 1.9863,               0.003763,               0.003763,               0.003763
                     65,                0.83262,                0.65277,                 1.2824,                0.78952,                0.82353,                0.83494,                0.52415,                 1.3957,                0.99224,                 1.9344,               0.003664,               0.003664,               0.003664
                     66,                0.78066,                0.72976,                 1.2361,                0.75876,                0.83193,                0.81868,                0.53195,                 1.3894,                0.90948,                 1.9113,               0.003565,               0.003565,               0.003565
                     67,                0.81339,                0.69363,                 1.2791,                0.80067,                0.77638,                0.83621,                0.53427,                 1.4881,                 0.9418,                 2.0254,               0.003466,               0.003466,               0.003466
                     68,                0.80574,                0.63799,                 1.2663,                0.85926,                0.72269,                0.82321,                0.52391,                 1.3544,                 0.9099,                 1.8573,               0.003367,               0.003367,               0.003367
                     69,                0.78809,                0.63405,                 1.2518,                0.81015,                0.78891,                0.82015,                0.52542,                 1.3819,                0.97778,                 1.8523,               0.003268,               0.003268,               0.003268
                     70,                0.78101,                  0.639,                 1.2467,                0.82927,                 0.7479,                0.81372,                0.53659,                 1.3455,                0.96049,                 1.8861,               0.003169,               0.003169,               0.003169
                     71,                0.78212,                0.68224,                 1.2495,                0.83122,                0.74493,                0.82622,                 0.5474,                 1.3265,                0.96394,                 1.8651,                0.00307,                0.00307,                0.00307
                     72,                0.75551,                0.59742,                 1.2334,                0.85985,                0.73109,                0.82327,                0.53826,                 1.3659,                0.91222,                 1.8907,               0.002971,               0.002971,               0.002971
                     73,                0.77053,                0.64297,                 1.2499,                0.78594,                0.79832,                0.81722,                0.53616,                 1.3524,                0.96372,                 1.8541,               0.002872,               0.002872,               0.002872
                     74,                0.77369,                0.60954,                  1.239,                0.78987,                0.82131,                0.82319,                0.54533,                 1.3856,                0.92491,                 1.9142,               0.002773,               0.002773,               0.002773
                     75,                0.74933,                0.60916,                  1.228,                0.82839,                0.82353,                0.83571,                0.52095,                 1.4364,                0.91007,                 1.9358,               0.002674,               0.002674,               0.002674
                     76,                0.76397,                0.59361,                 1.2324,                0.84321,                0.76832,                0.83311,                0.54198,                 1.3667,                0.91605,                 1.9094,               0.002575,               0.002575,               0.002575
                     77,                 0.7516,                0.69534,                 1.2384,                0.86102,                0.77311,                 0.8392,                0.55203,                 1.3606,                0.95304,                  1.859,               0.002476,               0.002476,               0.002476
                     78,                0.77148,                0.60462,                 1.2247,                0.84763,                0.77311,                0.82762,                0.54252,                 1.4005,                0.93355,                 1.9388,               0.002377,               0.002377,               0.002377
                     79,                0.74224,                 0.5913,                 1.2235,                0.77837,                0.76737,                0.79323,                0.53315,                 1.3814,                 1.0115,                 1.8722,               0.002278,               0.002278,               0.002278
                     80,                0.75413,                0.58326,                 1.2278,                0.78603,                0.73109,                0.81075,                0.52886,                 1.3471,                0.96702,                 1.8329,               0.002179,               0.002179,               0.002179
                     81,                0.72682,                0.56234,                 1.2079,                0.83621,                0.76471,                0.83662,                0.57242,                 1.2949,                0.92739,                 1.8453,                0.00208,                0.00208,                0.00208
                     82,                0.72871,                0.56431,                 1.2065,                0.78536,                0.78151,                0.82514,                0.54321,                 1.3601,                 0.9744,                 1.8747,               0.001981,               0.001981,               0.001981
                     83,                0.73149,                0.57388,                 1.2092,                0.81411,                 0.7563,                  0.809,                 0.5392,                  1.373,                0.90491,                 1.9034,               0.001882,               0.001882,               0.001882
                     84,                0.71746,                0.57935,                 1.1974,                0.86118,                0.78199,                0.84357,                0.54005,                 1.3809,                0.88552,                 1.9214,               0.001783,               0.001783,               0.001783
                     85,                0.73145,                0.56506,                 1.2227,                0.84978,                 0.7563,                0.82848,                0.55286,                 1.3086,                0.90412,                 1.8658,               0.001684,               0.001684,               0.001684
                     86,                0.70208,                0.54198,                 1.1799,                0.84947,                0.79832,                0.84884,                0.55264,                 1.3181,                0.89139,                 1.8971,               0.001585,               0.001585,               0.001585
                     87,                0.70347,                0.56146,                 1.1938,                0.84067,                0.83193,                 0.8546,                 0.5611,                 1.2963,                0.89821,                 1.8665,               0.001486,               0.001486,               0.001486
                     88,                0.66941,                0.52639,                  1.168,                0.80415,                0.84874,                0.85426,                0.56828,                 1.3121,                0.87511,                 1.8703,               0.001387,               0.001387,               0.001387
                     89,                0.65821,                0.52524,                 1.1643,                0.85063,                0.82353,                0.85741,                0.57486,                  1.309,                0.84163,                 1.8616,               0.001288,               0.001288,               0.001288
                     90,                 0.6868,                0.54519,                 1.1884,                0.82103,                0.84874,                0.85258,                0.55256,                 1.3221,                 0.8797,                 1.8585,               0.001189,               0.001189,               0.001189
                     91,                0.67869,                0.57799,                 1.1868,                0.86579,                0.76471,                0.84401,                0.56069,                 1.3155,                0.90559,                 1.8697,                0.00109,                0.00109,                0.00109
                     92,                 0.6549,                0.52185,                 1.1606,                0.86939,                0.76471,                0.84256,                0.54934,                 1.3036,                0.91106,                 1.8098,               0.000991,               0.000991,               0.000991
                     93,                0.67247,                0.52151,                 1.1735,                0.84363,                0.76471,                 0.8317,                0.55494,                 1.3215,                0.88628,                  1.834,               0.000892,               0.000892,               0.000892
                     94,                0.67078,                0.52715,                 1.1721,                0.89528,                0.71841,                0.84853,                0.56483,                 1.2962,                0.87335,                 1.8069,               0.000793,               0.000793,               0.000793
                     95,                 0.6654,                0.50467,                 1.1736,                0.83355,                0.75748,                0.85032,                0.56474,                 1.2731,                0.84945,                 1.7866,               0.000694,               0.000694,               0.000694
                     96,                0.64259,                0.49945,                 1.1548,                0.81771,                0.79161,                 0.8444,                0.56425,                 1.2696,                 0.8455,                 1.8074,               0.000595,               0.000595,               0.000595
                     97,                0.65231,                0.53176,                  1.175,                0.86905,                0.78074,                 0.8394,                 0.5685,                 1.3051,                0.84965,                 1.8701,               0.000496,               0.000496,               0.000496
                     98,                0.65633,                0.51088,                 1.1613,                0.82736,                0.80546,                0.85321,                0.57669,                 1.2956,                0.86726,                  1.836,               0.000397,               0.000397,               0.000397
                     99,                0.66502,                0.51154,                 1.1907,                0.82546,                0.83459,                0.86073,                0.57526,                 1.2814,                0.87493,                 1.8234,               0.000298,               0.000298,               0.000298
