                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 0.9595,                 1.4912,                0.26825,                0.96654,                 1.1216,                0.76245,                0.57143,                0.65404,                0.34537,                0.78242,                0.35714,                 0.3163,                0.08268,                 1.5057,                 6.9303,                0.63606,                 1.5641,                 1.4684,             0.00043725,             0.00043725,             0.00043725
                     34,                 1.1792,                 3.4072,                0.37942,                0.67178,                 1.1315,                0.76245,                0.57143,                0.65404,                0.34537,                0.78242,                0.35714,                 0.3163,                0.08268,                 1.5057,                 6.9303,                0.63606,                 1.5641,                 1.4684,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.0573,                  3.158,                0.30918,                0.82627,                 1.2882,                0.77365,                0.57143,                0.67319,                 0.3477,                0.52225,                0.35714,                0.29066,                0.07011,                 1.5384,                 7.0828,                 0.6662,                 1.5758,                  1.532,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.1303,                  3.407,                0.35709,                0.73357,                 1.0507,                0.77365,                0.57143,                0.67319,                 0.3477,                0.52225,                0.35714,                0.29066,                0.07011,                 1.5384,                 7.0828,                 0.6662,                 1.5758,                  1.532,             0.00045745,             0.00045745,             0.00045745
                     37,                  1.056,                 3.4989,                0.33663,                0.93116,                 1.1502,                0.56697,                0.46915,                0.52509,                0.32873,                 0.3523,                0.35714,                0.20608,                0.05363,                 1.6361,                 7.2287,                0.65529,                 1.7582,                 1.6061,             0.00046339,             0.00046339,             0.00046339
                     38,                 1.1212,                 2.9533,                 0.3062,                0.77663,                 1.0783,                0.56697,                0.46915,                0.52509,                0.32873,                 0.3523,                0.35714,                0.20608,                0.05363,                 1.6361,                 7.2287,                0.65529,                 1.7582,                 1.6061,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.2084,                 4.4476,                0.47277,                0.70884,                 1.1915,                0.56831,                0.56466,                0.61739,                0.26551,                0.44753,                0.34796,                0.23284,                0.06212,                 1.8188,                 7.3041,                0.65997,                 1.9397,                 1.7601,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.1156,                 2.8991,                0.24765,                0.84251,                 1.2027,                0.56831,                0.56466,                0.61739,                0.26551,                0.44753,                0.34796,                0.23284,                0.06212,                 1.8188,                 7.3041,                0.65997,                 1.9397,                 1.7601,             0.00047884,             0.00047884,             0.00047884
                     41,                  1.293,                  3.549,                0.30464,                0.84423,                 1.1889,                0.66248,                0.35714,                 0.4663,                0.18823,                0.37012,                0.35714,                0.23595,                0.05769,                 1.9332,                 7.4017,                0.64784,                 2.1544,                 1.8641,              0.0004832,              0.0004832,              0.0004832
                     42,                 1.5021,                 3.6128,                0.32668,                 1.1551,                 1.4221,                0.66248,                0.35714,                 0.4663,                0.18823,                0.37012,                0.35714,                0.23595,                0.05769,                 1.9332,                 7.4017,                0.64784,                 2.1544,                 1.8641,             0.00048716,             0.00048716,             0.00048716
